"geoid","year","crime_type","crime_count","number_of_months_missing","number_of_reporting_agencies"
"0420050",2022,"murder",1,0,1
"0420050",2021,"murder",1,0,1
"0420050",2020,"murder",0,0,1
"0420050",2019,"murder",0,0,1
"0420050",2018,"murder",0,0,1
"0420050",2017,"murder",1,0,1
"0420050",2016,"murder",0,0,1
"0420050",2015,"murder",0,12,1
"0420050",2014,"murder",0,12,1
"0420050",2013,"murder",0,12,1
"0420050",2012,"murder",1,0,1
"0420050",2011,"murder",1,0,1
"0420050",2010,"murder",0,1,1
"0420050",2009,"murder",0,0,1
"0434120",2023,"murder",0,0,1
"0434120",2022,"murder",0,0,1
"0434120",2021,"murder",0,0,1
"0434120",2020,"murder",0,0,1
"0434120",2019,"murder",1,0,1
"0434120",2018,"murder",0,0,1
"0434120",2017,"murder",0,0,1
"0434120",2016,"murder",0,12,1
"0434120",2015,"murder",0,12,1
"0434120",2014,"murder",0,7,1
"0434120",2013,"murder",0,0,1
"0434120",2012,"murder",0,2,1
"0434120",2011,"murder",0,0,1
"0434120",2010,"murder",0,0,1
"0434120",2009,"murder",0,0,1
"0466820",2023,"murder",0,0,1
"0466820",2022,"murder",1,0,1
"0466820",2021,"murder",4,0,1
"0466820",2020,"murder",1,0,1
"0466820",2019,"murder",2,0,1
"0466820",2018,"murder",0,0,1
"0466820",2017,"murder",0,0,1
"0466820",2016,"murder",3,0,1
"0466820",2015,"murder",2,0,1
"0466820",2014,"murder",2,0,1
"0466820",2013,"murder",0,12,1
"0466820",2012,"murder",0,0,1
"0466820",2011,"murder",2,0,1
"0466820",2010,"murder",1,0,1
"0466820",2009,"murder",1,0,1
"0474400",2023,"murder",0,0,1
"0474400",2022,"murder",0,0,1
"0474400",2021,"murder",0,0,1
"0474400",2020,"murder",0,0,1
"0474400",2019,"murder",0,0,1
"0474400",2018,"murder",0,0,1
"0474400",2017,"murder",0,0,1
"0474400",2016,"murder",0,12,1
"0474400",2015,"murder",0,12,1
"0474400",2014,"murder",0,12,1
"0474400",2013,"murder",0,12,1
"0474400",2012,"murder",0,12,1
"0474400",2011,"murder",0,0,1
"0474400",2010,"murder",0,0,1
"0474400",2009,"murder",0,0,1
"0483090",2023,"murder",0,0,1
"0483090",2022,"murder",0,0,1
"0483090",2021,"murder",0,0,1
"0483090",2020,"murder",0,0,1
"0483090",2019,"murder",0,0,1
"0483090",2018,"murder",0,0,1
"0483090",2017,"murder",0,0,1
"0483090",2016,"murder",0,0,1
"0483090",2015,"murder",0,0,1
"0483090",2014,"murder",0,0,1
"0483090",2013,"murder",0,0,1
"0483090",2012,"murder",0,0,1
"0483090",2011,"murder",0,0,1
"0483090",2010,"murder",0,0,1
"0483090",2009,"murder",0,0,1
"0499005",2023,"murder",1,0,1
"0499005",2022,"murder",1,0,1
"0499005",2021,"murder",2,0,1
"0499005",2020,"murder",1,0,1
"0499005",2019,"murder",6,0,1
"0499005",2018,"murder",2,0,1
"0499005",2017,"murder",3,0,1
"0499005",2016,"murder",3,0,1
"0499005",2015,"murder",2,0,1
"0499005",2014,"murder",3,0,1
"0499005",2013,"murder",1,0,1
"0499005",2012,"murder",2,0,1
"0499005",2011,"murder",5,0,1
"0499005",2010,"murder",1,0,1
"0499005",2009,"murder",2,0,1
"0423620",2023,"murder",2,0,2
"0423620",2022,"murder",5,0,2
"0423620",2021,"murder",3,0,2
"0423620",2020,"murder",5,0,2
"0423620",2019,"murder",1,0,2
"0423620",2018,"murder",2,0,2
"0423620",2017,"murder",7,0,2
"0423620",2016,"murder",0,0,2
"0423620",2015,"murder",1,0,2
"0423620",2014,"murder",3,0,2
"0423620",2013,"murder",1,0,2
"0423620",2012,"murder",0,0,2
"0423620",2011,"murder",0,0,2
"0423620",2010,"murder",5,0,2
"0423620",2009,"murder",4,0,2
"0425720",2023,"murder",0,0,2
"0425720",2022,"murder",0,0,2
"0425720",2021,"murder",0,0,2
"0425720",2020,"murder",0,0,2
"0425720",2019,"murder",0,0,2
"0425720",2018,"murder",1,0,2
"0425720",2017,"murder",0,0,2
"0425720",2016,"murder",0,2,2
"0425720",2015,"murder",0,0,2
"0425720",2014,"murder",0,0,2
"0425720",2013,"murder",0,0,2
"0425720",2012,"murder",0,0,2
"0425720",2011,"murder",0,0,2
"0425720",2010,"murder",0,0,2
"0425720",2009,"murder",0,2,2
"0483160",2023,"murder",0,0,1
"0483160",2022,"murder",0,0,1
"0483160",2021,"murder",1,0,1
"0483160",2020,"murder",0,0,1
"0483160",2019,"murder",0,0,1
"0483160",2018,"murder",0,0,1
"0483160",2017,"murder",1,0,1
"0483160",2016,"murder",0,0,1
"0483160",2015,"murder",0,0,1
"0483160",2014,"murder",0,0,1
"0483160",2013,"murder",0,0,1
"0483160",2012,"murder",0,3,1
"0483160",2011,"murder",0,0,1
"0483160",2010,"murder",0,0,1
"0483160",2009,"murder",0,0,1
"0451810",2023,"murder",0,0,1
"0451810",2022,"murder",1,0,1
"0451810",2021,"murder",0,0,1
"0451810",2020,"murder",0,0,1
"0451810",2019,"murder",1,0,1
"0451810",2018,"murder",0,0,1
"0451810",2017,"murder",0,0,1
"0451810",2016,"murder",0,0,1
"0451810",2015,"murder",0,0,1
"0451810",2014,"murder",2,0,1
"0451810",2013,"murder",1,0,1
"0451810",2012,"murder",2,0,1
"0451810",2011,"murder",0,0,1
"0451810",2010,"murder",0,0,1
"0451810",2009,"murder",0,12,1
"0465350",2023,"murder",0,0,2
"0465350",2022,"murder",0,0,2
"0465350",2021,"murder",0,0,2
"0465350",2020,"murder",0,0,2
"0465350",2019,"murder",0,0,2
"0465350",2018,"murder",0,0,2
"0465350",2017,"murder",0,0,2
"0465350",2016,"murder",0,12,2
"0465350",2015,"murder",0,12,2
"0465350",2014,"murder",0,12,2
"0465350",2013,"murder",0,12,2
"0465350",2012,"murder",0,12,2
"0465350",2011,"murder",0,12,2
"0465350",2010,"murder",0,12,2
"0465350",2009,"murder",0,12,2
"0499007",2023,"murder",1,0,1
"0499007",2022,"murder",0,0,1
"0499007",2021,"murder",0,0,1
"0499007",2020,"murder",6,0,1
"0499007",2019,"murder",1,0,1
"0499007",2018,"murder",1,0,1
"0499007",2017,"murder",1,0,1
"0499007",2016,"murder",1,1,1
"0499007",2015,"murder",0,0,1
"0499007",2014,"murder",0,0,1
"0499007",2013,"murder",1,0,1
"0499007",2012,"murder",0,0,1
"0499007",2011,"murder",1,0,1
"0499007",2010,"murder",0,0,1
"0499007",2009,"murder",0,0,1
"0428030",2023,"murder",0,0,1
"0428030",2022,"murder",0,0,1
"0428030",2021,"murder",0,0,1
"0428030",2020,"murder",1,0,1
"0428030",2019,"murder",0,0,1
"0428030",2018,"murder",3,0,1
"0428030",2017,"murder",1,0,1
"0428030",2016,"murder",0,0,1
"0428030",2015,"murder",0,0,1
"0428030",2014,"murder",0,0,1
"0428030",2013,"murder",0,0,1
"0428030",2012,"murder",0,12,1
"0428030",2011,"murder",0,0,1
"0428030",2010,"murder",0,0,1
"0428030",2009,"murder",1,0,1
"0432020",2023,"murder",0,0,1
"0432020",2022,"murder",0,0,1
"0432020",2021,"murder",0,0,1
"0432020",2020,"murder",0,0,1
"0432020",2019,"murder",0,0,1
"0432020",2018,"murder",0,0,1
"0432020",2017,"murder",0,0,1
"0432020",2016,"murder",0,0,1
"0432020",2015,"murder",0,12,1
"0432020",2014,"murder",0,12,1
"0432020",2013,"murder",0,12,1
"0432020",2012,"murder",0,12,1
"0432020",2011,"murder",0,12,1
"0432020",2010,"murder",0,12,1
"0432020",2009,"murder",0,12,1
"0446350",2023,"murder",0,0,1
"0446350",2022,"murder",0,0,1
"0446350",2021,"murder",0,0,1
"0446350",2020,"murder",0,0,1
"0446350",2019,"murder",0,0,1
"0446350",2018,"murder",0,0,1
"0446350",2017,"murder",0,0,1
"0446350",2016,"murder",0,0,1
"0446350",2015,"murder",0,0,1
"0446350",2014,"murder",0,0,1
"0446350",2013,"murder",0,0,1
"0446350",2012,"murder",0,0,1
"0446350",2011,"murder",0,0,1
"0446350",2010,"murder",0,0,1
"0446350",2009,"murder",0,0,1
"0453700",2023,"murder",0,0,2
"0453700",2022,"murder",0,0,2
"0453700",2021,"murder",0,0,2
"0453700",2020,"murder",0,0,2
"0453700",2019,"murder",0,0,2
"0453700",2018,"murder",0,0,2
"0453700",2017,"murder",0,0,2
"0453700",2016,"murder",0,1,2
"0453700",2015,"murder",1,0,2
"0453700",2014,"murder",1,0,2
"0453700",2013,"murder",1,0,2
"0453700",2012,"murder",1,0,2
"0453700",2011,"murder",0,0,2
"0453700",2010,"murder",0,0,1
"0453700",2009,"murder",0,0,1
"0483790",2023,"murder",0,0,1
"0483790",2022,"murder",0,0,1
"0483790",2021,"murder",0,0,1
"0483790",2020,"murder",0,0,1
"0483790",2019,"murder",0,0,1
"0483790",2018,"murder",0,0,1
"0483790",2017,"murder",0,0,1
"0483790",2016,"murder",0,12,1
"0483790",2015,"murder",0,12,1
"0483790",2014,"murder",0,12,1
"0483790",2013,"murder",0,12,1
"0483790",2012,"murder",0,12,1
"0483790",2011,"murder",0,12,1
"0483790",2010,"murder",0,12,1
"0483790",2009,"murder",0,12,1
"0462910",2023,"murder",10,0,2
"0462910",2022,"murder",10,0,2
"0462910",2021,"murder",1,0,2
"0462910",2020,"murder",4,0,2
"0462910",2019,"murder",1,0,2
"0462910",2018,"murder",1,0,2
"0462910",2017,"murder",1,0,2
"0462910",2016,"murder",2,6,2
"0462910",2015,"murder",0,5,2
"0462910",2014,"murder",11,0,2
"0462910",2013,"murder",10,0,2
"0462910",2012,"murder",2,0,2
"0462910",2011,"murder",4,0,2
"0462910",2010,"murder",6,2,2
"0462910",2009,"murder",4,4,2
"0499009",2023,"murder",0,0,1
"0499009",2022,"murder",0,0,1
"0499009",2021,"murder",0,0,1
"0499009",2020,"murder",0,0,1
"0499009",2019,"murder",4,0,1
"0499009",2018,"murder",0,0,1
"0499009",2017,"murder",0,0,1
"0499009",2016,"murder",0,0,1
"0499009",2015,"murder",1,0,1
"0499009",2014,"murder",0,0,1
"0499009",2013,"murder",0,0,1
"0499009",2012,"murder",1,0,1
"0499009",2011,"murder",0,0,1
"0499009",2010,"murder",1,0,1
"0499009",2009,"murder",0,0,1
"0455560",2023,"murder",0,0,1
"0455560",2022,"murder",0,0,1
"0455560",2021,"murder",0,0,1
"0455560",2020,"murder",0,0,1
"0455560",2019,"murder",0,0,1
"0455560",2018,"murder",0,0,1
"0455560",2017,"murder",0,0,1
"0455560",2016,"murder",0,0,1
"0455560",2015,"murder",0,0,1
"0455560",2014,"murder",0,0,1
"0455560",2013,"murder",0,0,1
"0455560",2012,"murder",0,0,1
"0455560",2011,"murder",0,0,1
"0455560",2010,"murder",0,1,1
"0455560",2009,"murder",0,0,1
"0462000",2023,"murder",0,0,1
"0462000",2022,"murder",0,0,1
"0462000",2021,"murder",0,0,1
"0462000",2020,"murder",0,0,1
"0462000",2019,"murder",0,0,1
"0462000",2018,"murder",0,0,1
"0462000",2017,"murder",0,0,1
"0462000",2016,"murder",0,0,1
"0462000",2015,"murder",0,0,1
"0462000",2014,"murder",0,12,1
"0462000",2013,"murder",0,12,1
"0462000",2012,"murder",0,12,1
"0462000",2011,"murder",0,12,1
"0462000",2010,"murder",0,11,1
"0462000",2009,"murder",0,0,1
"0473420",2023,"murder",0,0,2
"0473420",2022,"murder",0,0,2
"0473420",2021,"murder",0,0,2
"0473420",2020,"murder",0,0,2
"0473420",2019,"murder",0,0,2
"0473420",2018,"murder",0,0,2
"0473420",2017,"murder",0,0,2
"0473420",2016,"murder",0,12,2
"0473420",2015,"murder",0,12,2
"0473420",2014,"murder",0,12,2
"0473420",2013,"murder",0,12,2
"0473420",2012,"murder",0,12,2
"0473420",2011,"murder",0,12,2
"0473420",2010,"murder",0,12,2
"0473420",2009,"murder",0,12,2
"0499011",2023,"murder",0,0,1
"0499011",2022,"murder",0,0,1
"0499011",2021,"murder",0,0,1
"0499011",2020,"murder",1,0,1
"0499011",2019,"murder",0,0,1
"0499011",2018,"murder",0,0,1
"0499011",2017,"murder",0,0,1
"0499011",2016,"murder",0,0,1
"0499011",2015,"murder",0,8,1
"0499011",2014,"murder",0,6,1
"0499011",2013,"murder",0,1,1
"0499011",2012,"murder",1,0,1
"0499011",2011,"murder",0,12,1
"0499011",2010,"murder",0,12,1
"0499011",2009,"murder",0,9,1
"0414380",2023,"murder",0,0,1
"0414380",2022,"murder",0,0,1
"0414380",2021,"murder",0,0,1
"0414380",2020,"murder",0,0,1
"0414380",2019,"murder",0,0,1
"0414380",2018,"murder",0,0,1
"0414380",2017,"murder",0,0,1
"0414380",2016,"murder",0,5,1
"0414380",2015,"murder",0,6,1
"0414380",2014,"murder",0,0,1
"0414380",2013,"murder",0,0,1
"0414380",2012,"murder",0,0,1
"0414380",2011,"murder",0,0,1
"0414380",2010,"murder",0,0,1
"0414380",2009,"murder",0,0,1
"0420750",2023,"murder",0,0,1
"0420750",2022,"murder",0,0,1
"0420750",2021,"murder",0,0,1
"0420750",2020,"murder",0,0,1
"0420750",2019,"murder",0,0,1
"0420750",2018,"murder",0,0,1
"0420750",2017,"murder",0,0,1
"0420750",2016,"murder",0,12,1
"0420750",2015,"murder",0,12,1
"0420750",2014,"murder",0,12,1
"0420750",2013,"murder",0,12,1
"0420750",2012,"murder",0,12,1
"0420750",2011,"murder",0,12,1
"0420750",2010,"murder",0,12,1
"0420750",2009,"murder",0,12,1
"0499013",2023,"murder",0,0,1
"0499013",2022,"murder",8,0,1
"0499013",2021,"murder",17,0,1
"0499013",2020,"murder",18,0,1
"0499013",2019,"murder",4,0,1
"0499013",2018,"murder",21,0,1
"0499013",2017,"murder",18,0,1
"0499013",2016,"murder",22,0,1
"0499013",2015,"murder",20,0,1
"0499013",2014,"murder",17,0,1
"0499013",2013,"murder",18,0,1
"0499013",2012,"murder",8,0,1
"0499013",2011,"murder",6,0,1
"0499013",2010,"murder",26,0,1
"0499013",2009,"murder",25,0,1
"0404720",2023,"murder",6,0,1
"0404720",2022,"murder",6,0,1
"0404720",2021,"murder",7,0,1
"0404720",2020,"murder",1,0,1
"0404720",2019,"murder",1,0,1
"0404720",2018,"murder",6,0,1
"0404720",2017,"murder",6,0,1
"0404720",2016,"murder",2,0,1
"0404720",2015,"murder",8,0,1
"0404720",2014,"murder",2,0,1
"0404720",2013,"murder",2,1,1
"0404720",2012,"murder",7,0,1
"0404720",2011,"murder",6,0,1
"0404720",2010,"murder",0,0,1
"0404720",2009,"murder",5,0,1
"0407940",2023,"murder",2,0,1
"0407940",2022,"murder",1,0,1
"0407940",2021,"murder",4,0,1
"0407940",2020,"murder",1,0,1
"0407940",2019,"murder",2,0,1
"0407940",2018,"murder",1,0,1
"0407940",2017,"murder",4,0,1
"0407940",2016,"murder",2,0,1
"0407940",2015,"murder",2,0,1
"0407940",2014,"murder",1,0,1
"0407940",2013,"murder",1,0,1
"0407940",2012,"murder",3,0,1
"0407940",2011,"murder",0,0,1
"0407940",2010,"murder",1,0,1
"0407940",2009,"murder",1,0,1
"0412000",2023,"murder",7,0,1
"0412000",2022,"murder",11,0,1
"0412000",2021,"murder",7,0,1
"0412000",2020,"murder",9,0,1
"0412000",2019,"murder",4,0,1
"0412000",2018,"murder",4,0,1
"0412000",2017,"murder",5,0,1
"0412000",2016,"murder",4,0,1
"0412000",2015,"murder",1,0,1
"0412000",2014,"murder",1,0,1
"0412000",2013,"murder",2,0,1
"0412000",2012,"murder",4,0,1
"0412000",2011,"murder",2,0,1
"0412000",2010,"murder",6,0,1
"0412000",2009,"murder",5,0,1
"0422220",2023,"murder",2,0,1
"0422220",2022,"murder",5,0,1
"0422220",2021,"murder",1,0,1
"0422220",2020,"murder",4,0,1
"0422220",2019,"murder",2,0,1
"0422220",2018,"murder",1,0,1
"0422220",2017,"murder",1,0,1
"0422220",2016,"murder",1,0,1
"0422220",2015,"murder",1,0,1
"0422220",2014,"murder",0,0,1
"0422220",2013,"murder",1,0,1
"0422220",2012,"murder",3,0,1
"0422220",2011,"murder",2,0,1
"0422220",2010,"murder",1,0,1
"0422220",2009,"murder",0,0,1
"0427050",2023,"murder",0,0,1
"0427050",2022,"murder",0,0,1
"0427050",2021,"murder",0,0,1
"0427050",2020,"murder",0,0,1
"0427050",2019,"murder",0,0,1
"0427050",2018,"murder",0,0,1
"0427050",2017,"murder",0,0,1
"0427050",2016,"murder",0,12,1
"0427050",2015,"murder",0,12,1
"0427050",2014,"murder",0,12,1
"0427050",2013,"murder",0,12,1
"0427050",2012,"murder",0,12,1
"0427050",2011,"murder",0,12,1
"0427050",2010,"murder",0,12,1
"0427050",2009,"murder",0,12,1
"0427400",2023,"murder",4,0,1
"0427400",2022,"murder",2,0,1
"0427400",2021,"murder",3,0,1
"0427400",2020,"murder",4,0,1
"0427400",2019,"murder",1,0,1
"0427400",2018,"murder",2,0,1
"0427400",2017,"murder",5,0,1
"0427400",2016,"murder",3,0,1
"0427400",2015,"murder",2,0,1
"0427400",2014,"murder",0,0,1
"0427400",2013,"murder",1,0,1
"0427400",2012,"murder",5,0,1
"0427400",2011,"murder",2,0,1
"0427400",2010,"murder",5,0,1
"0427400",2009,"murder",4,0,1
"0427820",2023,"murder",16,0,1
"0427820",2022,"murder",20,0,1
"0427820",2021,"murder",0,0,1
"0427820",2020,"murder",25,0,1
"0427820",2019,"murder",17,0,1
"0427820",2018,"murder",9,0,1
"0427820",2017,"murder",12,0,1
"0427820",2016,"murder",23,0,1
"0427820",2015,"murder",13,0,1
"0427820",2014,"murder",20,0,1
"0427820",2013,"murder",13,0,1
"0427820",2012,"murder",12,0,1
"0427820",2011,"murder",22,0,1
"0427820",2010,"murder",12,0,1
"0427820",2009,"murder",18,0,1
"0428380",2023,"murder",4,0,1
"0428380",2022,"murder",2,0,1
"0428380",2021,"murder",1,0,1
"0428380",2020,"murder",2,0,1
"0428380",2019,"murder",1,0,1
"0428380",2018,"murder",2,0,1
"0428380",2017,"murder",2,0,1
"0428380",2016,"murder",0,0,1
"0428380",2015,"murder",1,0,1
"0428380",2014,"murder",2,0,1
"0428380",2013,"murder",4,0,1
"0428380",2012,"murder",0,0,1
"0428380",2011,"murder",0,0,1
"0428380",2010,"murder",0,0,1
"0428380",2009,"murder",0,0,1
"0446000",2023,"murder",27,0,2
"0446000",2022,"murder",28,0,2
"0446000",2021,"murder",25,0,2
"0446000",2020,"murder",19,0,2
"0446000",2019,"murder",11,0,2
"0446000",2018,"murder",17,0,2
"0446000",2017,"murder",23,0,2
"0446000",2016,"murder",19,12,2
"0446000",2015,"murder",16,12,2
"0446000",2014,"murder",13,12,2
"0446000",2013,"murder",22,12,2
"0446000",2012,"murder",14,12,2
"0446000",2011,"murder",17,12,2
"0446000",2010,"murder",15,12,2
"0446000",2009,"murder",14,12,2
"0452930",2023,"murder",0,0,1
"0452930",2022,"murder",0,0,1
"0452930",2021,"murder",0,0,1
"0452930",2020,"murder",0,0,1
"0452930",2019,"murder",0,0,1
"0452930",2018,"murder",0,0,1
"0452930",2017,"murder",0,0,1
"0452930",2016,"murder",0,0,1
"0452930",2015,"murder",0,0,1
"0452930",2014,"murder",1,0,1
"0452930",2013,"murder",0,0,1
"0452930",2012,"murder",2,0,1
"0452930",2011,"murder",0,0,1
"0452930",2010,"murder",0,0,1
"0452930",2009,"murder",0,0,1
"0454050",2023,"murder",9,0,1
"0454050",2022,"murder",3,0,1
"0454050",2021,"murder",8,0,1
"0454050",2020,"murder",3,0,1
"0454050",2019,"murder",4,0,1
"0454050",2018,"murder",3,0,1
"0454050",2017,"murder",4,0,1
"0454050",2016,"murder",2,0,1
"0454050",2015,"murder",1,0,1
"0454050",2014,"murder",2,0,1
"0454050",2013,"murder",4,0,1
"0454050",2012,"murder",9,0,1
"0454050",2011,"murder",2,0,1
"0454050",2010,"murder",6,0,1
"0454050",2009,"murder",9,0,1
"0455000",2023,"murder",191,0,4
"0455000",2022,"murder",220,0,4
"0455000",2021,"murder",0,0,4
"0455000",2020,"murder",187,0,4
"0455000",2019,"murder",131,0,4
"0455000",2018,"murder",133,0,4
"0455000",2017,"murder",159,0,4
"0455000",2016,"murder",146,24,4
"0455000",2015,"murder",112,24,4
"0455000",2014,"murder",114,24,4
"0455000",2013,"murder",118,24,4
"0455000",2012,"murder",123,24,4
"0455000",2011,"murder",116,24,4
"0455000",2010,"murder",116,24,4
"0455000",2009,"murder",122,24,4
"0465000",2023,"murder",1,0,2
"0465000",2022,"murder",3,0,2
"0465000",2021,"murder",5,0,2
"0465000",2020,"murder",7,0,2
"0465000",2019,"murder",4,0,2
"0465000",2018,"murder",9,0,2
"0465000",2017,"murder",5,0,2
"0465000",2016,"murder",4,0,2
"0465000",2015,"murder",7,0,2
"0465000",2014,"murder",3,0,2
"0465000",2013,"murder",4,0,2
"0465000",2012,"murder",5,0,2
"0465000",2011,"murder",7,0,2
"0465000",2010,"murder",9,0,2
"0465000",2009,"murder",12,0,2
"0471510",2023,"murder",2,0,1
"0471510",2022,"murder",2,0,1
"0471510",2021,"murder",1,0,1
"0471510",2020,"murder",2,0,1
"0471510",2019,"murder",4,0,1
"0471510",2018,"murder",7,0,1
"0471510",2017,"murder",2,0,1
"0471510",2016,"murder",6,0,1
"0471510",2015,"murder",2,0,1
"0471510",2014,"murder",4,0,1
"0471510",2013,"murder",0,0,1
"0471510",2012,"murder",3,0,1
"0471510",2011,"murder",0,0,1
"0471510",2010,"murder",0,0,1
"0471510",2009,"murder",1,0,1
"0473000",2023,"murder",12,0,2
"0473000",2022,"murder",8,0,2
"0473000",2021,"murder",0,0,2
"0473000",2020,"murder",8,0,2
"0473000",2019,"murder",8,0,2
"0473000",2018,"murder",5,0,2
"0473000",2017,"murder",5,0,2
"0473000",2016,"murder",4,0,2
"0473000",2015,"murder",7,0,2
"0473000",2014,"murder",5,0,2
"0473000",2013,"murder",3,0,2
"0473000",2012,"murder",11,0,2
"0473000",2011,"murder",5,0,2
"0473000",2010,"murder",11,0,2
"0473000",2009,"murder",2,0,2
"0474190",2023,"murder",0,0,1
"0474190",2022,"murder",0,0,1
"0474190",2021,"murder",1,0,1
"0474190",2020,"murder",0,0,1
"0474190",2019,"murder",0,0,1
"0474190",2018,"murder",3,0,1
"0474190",2017,"murder",0,0,1
"0474190",2016,"murder",0,11,1
"0474190",2015,"murder",0,0,1
"0474190",2014,"murder",2,0,1
"0474190",2013,"murder",1,0,1
"0474190",2012,"murder",1,0,1
"0474190",2011,"murder",0,0,1
"0474190",2010,"murder",0,0,1
"0474190",2009,"murder",0,0,1
"0482740",2023,"murder",0,0,1
"0482740",2022,"murder",0,0,1
"0482740",2021,"murder",0,0,1
"0482740",2020,"murder",0,0,1
"0482740",2019,"murder",0,0,1
"0482740",2018,"murder",0,0,1
"0482740",2017,"murder",0,0,1
"0482740",2016,"murder",0,0,1
"0482740",2015,"murder",0,0,1
"0482740",2014,"murder",0,0,1
"0482740",2013,"murder",0,0,1
"0482740",2012,"murder",0,0,1
"0482740",2011,"murder",1,0,1
"0482740",2010,"murder",1,1,1
"0482740",2009,"murder",0,0,1
"0485400",2023,"murder",0,0,1
"0485400",2022,"murder",0,0,1
"0485400",2021,"murder",0,0,1
"0485400",2020,"murder",0,0,1
"0485400",2019,"murder",0,0,1
"0485400",2018,"murder",0,0,1
"0485400",2017,"murder",0,0,1
"0485400",2016,"murder",0,12,1
